asset,horizon,configured_mode,horizon_state,settlement_context_present,settlement_mapping_verified,market_mapping_verified,required_venues_verified,entry_authority,status,blockers
BTC,M5,FROZEN_BASELINE,FROZEN_BASELINE,True,True,True,True,False,BLOCKED,BTC_FROZEN_NO_NEW_AUTHORITY
BTC,M15,FROZEN_BASELINE,SHADOW_ONLY,True,True,True,True,False,READY_SHADOW,
ETH,M5,SHADOW_ONLY,SHADOW_READY,True,True,True,True,False,READY_SHADOW,
ETH,M15,SHADOW_ONLY,SHADOW_PREPARED,True,True,True,True,False,READY_SHADOW,
SOL,M5,SHADOW_ONLY,SHADOW_READY,True,True,True,True,False,READY_SHADOW,
SOL,M15,SHADOW_ONLY,SHADOW_PREPARED,True,True,True,True,False,READY_SHADOW,
XRP,M5,SHADOW_ONLY,SHADOW_PREPARED,True,True,True,True,False,READY_SHADOW,
XRP,M15,SHADOW_ONLY,SHADOW_PREPARED,True,True,True,True,False,READY_SHADOW,
DOGE,M5,SHADOW_ONLY,SHADOW_PREPARED,True,True,True,True,False,READY_SHADOW,
DOGE,M15,SHADOW_ONLY,SHADOW_PREPARED,True,True,True,True,False,READY_SHADOW,
BNB,M5,SHADOW_ONLY,SHADOW_PREPARED,True,True,True,True,False,READY_SHADOW,
BNB,M15,SHADOW_ONLY,SHADOW_PREPARED,True,True,True,True,False,READY_SHADOW,
